obwod;coordexact;glosy;icon
102112;53.7539871 19.2066664;1;measle_white
102113;53.751655 19.2084319;1;measle_white
102114;53.751655 19.2084319;0;measle_white
102115;53.7492032 19.2078311;1;measle_white
102116;53.81623 19.216068;1;measle_white
102117;53.82124 19.2110369;0;measle_white
102118;53.7069237 19.0069878;0;measle_white
102119;53.7197567 19.2034551;1;measle_white
102120;53.7069237 19.0069878;0;measle_white
102121;53.738123 19.2081861;1;measle_white
102122;53.7069237 19.0069878;1;measle_white
102123;53.8412 18.9589;1;measle_white
102124;53.8449 18.9612999;0;measle_white
102125;53.7069237 19.0069878;1;measle_white
102126;53.8439 18.9705999;0;measle_white
102127;53.6694422 18.8823643;0;measle_white
102128;53.648032 18.7548299;0;measle_white
102129;53.661107 18.873787;2;measle_white
102177;54.016197 19.0287888;2;measle_white
102178;54.016197 19.0287888;3;measle_white
102179;54.0266597 19.0256396;1;measle_white
102180;54.027416 19.019617;1;measle_white
102181;54.0293767 19.0288481;0;measle_white
102182;54.0248013 19.0504092;3;measle_white
102183;54.0318623 19.0361011;0;measle_white
102184;54.026128 19.0422629;7;measle_grey
102185;54.0290692 19.0440828;8;measle_grey
102186;54.026128 19.0422629;4;measle_grey
102187;54.0293561 19.0408444;7;measle_grey
102188;54.03875 19.071109;2;measle_white
102189;54.0367351 19.0600374;0;measle_white
102190;54.0359785 19.0537305;5;measle_grey
102191;54.0433357 19.0473813;3;measle_white
102192;54.0421571 19.013316;5;measle_grey
102193;54.0324682 19.0364376;2;measle_white
102194;54.033751 19.0268113;2;measle_white
102195;54.0359293 19.0271091;4;measle_grey
102196;54.0390688 19.0343903;3;measle_white
102197;54.0329542 19.0345228;1;measle_white
102198;54.0269537 19.0230014;0;measle_white
102199;54.036488 19.029614;0;measle_white
102200;54.031193 19.021952;0;measle_white
102201;54.1159624 18.9145892;6;measle_grey
102202;54.099778 18.8322979;2;measle_white
102203;54.0716032 18.9226356;1;measle_white
102204;54.0442653 19.0202977;5;measle_grey
102205;54.0889539 19.0739418;6;measle_grey
102206;54.012427 19.0666249;3;measle_white
102207;54.0633291 18.9766064;1;measle_white
102208;54.0149124 18.911106;2;measle_white
102209;54.059454 18.860481;1;measle_white
102210;54.133918 19.015783;26;small_red
102211;54.1366948 19.0076843;12;small_yellow
102212;54.135587 19.002868;33;small_red
102213;54.121458 19.1223959;3;measle_white
102214;54.053661 19.194453;2;measle_white
102215;54.0498027 19.201323;6;measle_grey
102216;54.0467998 19.1438548;4;measle_grey
102217;54.382885 19.445898;2;measle_white
102218;54.212105 19.116054;38;small_red
102219;54.2180127 19.1158524;36;small_red
102220;54.212914 19.11333;41;small_red
102221;54.214077 19.122297;27;small_red
102222;54.206645 19.122146;24;small_red
102223;54.210004 19.1172109;15;small_yellow
102224;54.206359 19.116796;32;small_red
102225;54.207175 19.135582;16;small_yellow
102226;54.234969 19.230545;10;small_yellow
102227;54.190119 19.313947;7;measle_grey
102228;54.173192 19.244746;12;small_yellow
102229;54.189589 19.159827;22;small_red
102230;52.4769443 20.6780861;19;small_yellow
102231;54.189679 19.037568;152;small_purple
102232;54.2117802 19.11963;0;measle_white
102233;54.2145271 18.9497101;42;small_red
102234;54.176524 18.9025639;20;small_red
102235;54.24852 18.978209;13;small_yellow
102236;54.326518 19.119872;10;small_yellow
102237;54.284766 19.117743;8;measle_grey
102238;54.2754896 19.1364083;9;measle_grey
102239;54.249003 18.9788879;3;measle_white
102240;54.292448 19.026039;4;measle_grey
102241;54.332273 19.033645;1;measle_white
102242;54.33369 18.9617149;3;measle_white
102243;54.2892928 18.9630433;4;measle_grey
102244;54.3272744 19.1249866;0;measle_white
102245;54.325893 19.1772259;13;small_yellow
102246;54.338765 19.227754;2;measle_white
102391;53.843587 18.0968689;0;measle_white
102392;53.846519 18.085521;3;measle_white
102393;53.84166 18.199009;0;measle_white
102394;53.7986089 18.5311172;3;measle_white
102395;53.799516 18.5314439;4;measle_grey
102396;53.973313 18.5303559;2;measle_white
102397;53.9831934 18.4914505;2;measle_white
102398;53.980628 18.5114259;0;measle_white
102399;53.9751484 18.5301389;3;measle_white
102400;53.971051 18.5306699;0;measle_white
