no;lat;lon;dist;tdist;alt
00099;54.1167916;19.0023026;121.090375788336;15038.6666030036;0.850
00100;54.1158860;19.0022597;100.74705605702;15139.4136590606;0.600
00101;54.1153578;19.0023885;59.3360273644097;15198.7496864251;0.625
00102;54.1149804;19.0026889;46.3124421708008;15245.0621285959;0.900
00103;54.1149301;19.0027747;7.91005780574437;15252.9721864016;1.125
00104;54.1140245;19.0026889;100.863424879463;15353.8356112811;1.300
00105;54.1125151;19.0028605;168.226802501174;15522.0624137822;1.575
00106;54.1109051;19.0033326;181.667662233005;15703.7300760152;1.600
00107;54.1090434;19.0039334;210.704806977317;15914.4348829926;1.650
00108;54.1085402;19.0038476;56.2377860662404;15970.6726690588;1.725
00109;54.1068796;19.0032468;188.777262021657;16159.4499310805;1.875
00110;54.1056468;19.0025601;144.220351458349;16303.6702825388;2.800
00111;54.1049674;19.0017877;90.7991456314906;16394.4694281703;3.300
00112;54.1043384;19.0013585;75.3387523686003;16469.8081805389;3.725
00113;54.1027028;19.0009723;183.623506575312;16653.4316871142;3.950
00114;54.1026777;19.0009294;3.95168444409315;16657.3833715583;3.850
00115;54.1006394;19.0004144;229.14535242586;16886.5287239842;3.950
00116;54.1002871;19.0002427;40.7463073293001;16927.2750313135;3.525
00117;54.0985256;18.9990411;210.979288745084;17138.2543200585;2.875
00118;54.0965878;18.9977536;231.273716921056;17369.5280369796;2.025
00119;54.0959587;18.9973245;75.3487555436591;17444.8767925233;1.375
00120;54.0955057;18.9971528;51.6058090239059;17496.4826015472;1.400
00121;54.0943480;18.9970241;129.016606079304;17625.4992076265;1.650
00122;54.0942221;18.9969811;14.2789371215973;17639.7781447481;1.900
00123;54.0942473;18.9970241;3.96456070078327;17643.7427054489;2.000
00124;54.0927120;18.9968095;171.307411579282;17815.0501170281;1.925
00125;54.0919066;18.9968524;89.6090824976723;17904.6591995258;1.850
00126;54.0905978;18.9971957;147.25874551928;18051.9179450451;1.850
00127;54.0882066;18.9985261;279.716377898968;18331.6343229441;2.125
00128;54.0834992;19.0010581;548.928403056039;18880.5627260001;2.475
00129;54.0803775;19.0027318;363.917907224162;19244.4806332243;2.825
00130;54.0803775;19.0027318;0;19244.4806332243;3.325
00131;54.0791942;19.0033326;137.303727045447;19381.7843602697;3.500
00132;54.0774569;19.0047917;215.378006864455;19597.1623671342;3.725
00133;54.0749139;19.0068088;311.920802809613;19909.0831699438;3.950
00134;54.0708598;19.0101562;500.963879931509;20410.0470498753;4.075
00135;54.0669060;19.0131602;481.407343818015;20891.4543936933;4.275
00136;54.0668556;19.0132031;6.2651225677722;20897.7195162611;4.575
00137;54.0586699;19.0189109;983.577010816262;21881.2965270773;4.625
